antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'HasDescription'}),frozenset({'HasSocialNet'}),0.4412085336165069,0.4579278246281935,0.34466592484226816,0.7811859893486276,1.7059150969541934,0.14262426083586596,2.4773193167939707,0.7405344931532345
frozenset({'HasDescription'}),frozenset({'HasCopyrightInfo'}),0.4412085336165069,0.4876610502651928,0.3526075880728193,0.7991857845145431,1.6388140575917258,0.1374473711834279,2.5513081755505063,0.6975816032478486
frozenset({'HasCopyrightInfo'}),frozenset({'HasDescription'}),0.4876610502651928,0.4412085336165069,0.3526075880728193,0.7230587472201631,1.6388140575917258,0.1374473711834279,2.017725639551872,0.760829617195374
frozenset({'label'}),frozenset({'HasDescription'}),0.5732005580628216,0.4412085336165069,0.422275066227597,0.7366968860859283,1.6697249258697617,0.16937408853653607,2.1222364524175483,0.9397832268846967
frozenset({'HasDescription'}),frozenset({'label'}),0.4412085336165069,0.5732005580628216,0.422275066227597,0.9570872593199508,1.6697249258697617,0.16937408853653607,9.945751195882105,0.7177972122091053
frozenset({'HasSocialNet'}),frozenset({'HasCopyrightInfo'}),0.4579278246281935,0.4876610502651928,0.3744443377522721,0.8176929149398067,1.6767648646434663,0.15113077384843224,2.810307397354554,0.744575124794998
frozenset({'HasCopyrightInfo'}),frozenset({'HasSocialNet'}),0.4876610502651928,0.4579278246281935,0.3744443377522721,0.7678372868791699,1.6767648646434663,0.15113077384843224,2.334880429699676,0.7877860112612443
frozenset({'HasSocialNet'}),frozenset({'label'}),0.4579278246281935,0.5732005580628216,0.4558096712061048,0.9953744819419775,1.7365204341494842,0.19332518657673042,92.27062495128304,0.7824341311350235
frozenset({'label'}),frozenset({'HasSocialNet'}),0.5732005580628216,0.4579278246281935,0.4558096712061048,0.7952010248324795,1.7365204341494842,0.19332518657673042,2.646850038816868,0.9937589646894173
frozenset({'label'}),frozenset({'HasCopyrightInfo'}),0.5732005580628216,0.4876610502651928,0.4632147355697268,0.8081198265668114,1.6571342454505056,0.18368714941221664,2.67009842949303,0.9291216182840496
frozenset({'HasCopyrightInfo'}),frozenset({'label'}),0.4876610502651928,0.5732005580628216,0.4632147355697268,0.9498702742772425,1.6571342454505056,0.18368714941221664,8.513899403671045,0.7739965668834251
"frozenset({'URLLength', 'NoOfImage'})",frozenset({'URLSimilarityIndex'}),0.6381855050525019,1.0,0.6381855050525019,1.0,1.0,0.0,inf,0.0
"frozenset({'URLSimilarityIndex', 'NoOfImage'})",frozenset({'URLLength'}),0.6381855050525019,1.0,0.6381855050525019,1.0,1.0,0.0,inf,0.0
frozenset({'NoOfImage'}),"frozenset({'URLLength', 'URLSimilarityIndex'})",0.6381855050525019,1.0,0.6381855050525019,1.0,1.0,0.0,inf,0.0
"frozenset({'NoOfJS', 'URLLength'})",frozenset({'URLSimilarityIndex'}),0.6637727983913331,1.0,0.6637727983913331,1.0,1.0,0.0,inf,0.0
"frozenset({'NoOfJS', 'URLSimilarityIndex'})",frozenset({'URLLength'}),0.6637727983913331,1.0,0.6637727983913331,1.0,1.0,0.0,inf,0.0
frozenset({'NoOfJS'}),"frozenset({'URLLength', 'URLSimilarityIndex'})",0.6637727983913331,1.0,0.6637727983913331,1.0,1.0,0.0,inf,0.0
